rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
TG_0015,5,data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_01.webp,data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_01.webp|data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_02.webp|data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_03.webp|data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_04.webp|data/image_pipeline/downloaded/optimized/TG_0015/TG_0015_05.webp,559608
TH_0001,2,data/image_pipeline/downloaded/optimized/TH_0001/TH_0001_01.webp,data/image_pipeline/downloaded/optimized/TH_0001/TH_0001_01.webp|data/image_pipeline/downloaded/optimized/TH_0001/TH_0001_02.webp,85472
TH_0091,1,data/image_pipeline/downloaded/optimized/TH_0091/TH_0091_01.webp,data/image_pipeline/downloaded/optimized/TH_0091/TH_0091_01.webp,181436
TTH_0002,4,data/image_pipeline/downloaded/optimized/TTH_0002/TTH_0002_01.webp,data/image_pipeline/downloaded/optimized/TTH_0002/TTH_0002_01.webp|data/image_pipeline/downloaded/optimized/TTH_0002/TTH_0002_02.webp|data/image_pipeline/downloaded/optimized/TTH_0002/TTH_0002_03.webp|data/image_pipeline/downloaded/optimized/TTH_0002/TTH_0002_04.webp,530938
TTH_0003,1,data/image_pipeline/downloaded/optimized/TTH_0003/TTH_0003_01.webp,data/image_pipeline/downloaded/optimized/TTH_0003/TTH_0003_01.webp,198824
TTH_0025,3,data/image_pipeline/downloaded/optimized/TTH_0025/TTH_0025_01.webp,data/image_pipeline/downloaded/optimized/TTH_0025/TTH_0025_01.webp|data/image_pipeline/downloaded/optimized/TTH_0025/TTH_0025_02.webp|data/image_pipeline/downloaded/optimized/TTH_0025/TTH_0025_03.webp,507108
TTH_0026,3,data/image_pipeline/downloaded/optimized/TTH_0026/TTH_0026_01.webp,data/image_pipeline/downloaded/optimized/TTH_0026/TTH_0026_01.webp|data/image_pipeline/downloaded/optimized/TTH_0026/TTH_0026_02.webp|data/image_pipeline/downloaded/optimized/TTH_0026/TTH_0026_03.webp,435728
TTH_0032,2,data/image_pipeline/downloaded/optimized/TTH_0032/TTH_0032_01.webp,data/image_pipeline/downloaded/optimized/TTH_0032/TTH_0032_01.webp|data/image_pipeline/downloaded/optimized/TTH_0032/TTH_0032_02.webp,235496
TTH_0075,4,data/image_pipeline/downloaded/optimized/TTH_0075/TTH_0075_01.webp,data/image_pipeline/downloaded/optimized/TTH_0075/TTH_0075_01.webp|data/image_pipeline/downloaded/optimized/TTH_0075/TTH_0075_02.webp|data/image_pipeline/downloaded/optimized/TTH_0075/TTH_0075_03.webp|data/image_pipeline/downloaded/optimized/TTH_0075/TTH_0075_04.webp,338370
VP_0001,2,data/image_pipeline/downloaded/optimized/VP_0001/VP_0001_01.webp,data/image_pipeline/downloaded/optimized/VP_0001/VP_0001_01.webp|data/image_pipeline/downloaded/optimized/VP_0001/VP_0001_02.webp,162584
